术语ID,术语名称,术语类型,所属资源,术语说明,,,
T001,自然资源地理信息,实体,通用,描述自然资源要素的空间化信息集合,,,
T002,土地资源,实体,土地,包含耕地、建设用地、未利用地等,,,
T003,森林资源,实体,森林,描述林地范围、类型与生态属性,,,
T004,水体资源,实体,水体,河流、湖泊、水库等空间对象,,,
T005,权属字段,属性,通用,描述自然资源所有权或使用权信息,,,
T006,空间精度,属性,通用,描述地理数据的空间分辨率或比例尺,,,
T007,生态红线区,实体,通用,受严格保护的生态空间区域,,,
T008,内容敏感性,指标,通用,反映数据内容本身的敏感程度,,,
T009,空间敏感性,指标,通用,反映空间精度和覆盖范围带来的风险,,,
T010,共享可信性,指标,通用,反映共享过程中的授权与审计可靠性,,,
T011,融合扩散性,指标,通用,反映数据融合后被反推或扩散的风险,,,
T012,采集环节,关系,通用,数据生命周期中的采集阶段,,,
T013,共享环节,关系,通用,数据生命周期中的共享阶段,,,
T014,敏感等级,属性,通用,综合评估后得到的安全等级,,,
