样本ID,资源类型,数据形式,数据来源,生命周期环节,是否生态红线区,是否涉权属,备注
S001,水体资源,栅格,共享交换平台,共享,否,否,
S002,海洋资源,表格,资源普查,存储,是,否,
S003,森林资源,矢量,共享交换平台,共享,否,是,
S004,土地资源,服务,共享交换平台,共享,否,是,
S005,水体资源,矢量,共享交换平台,共享,是,否,
S006,森林资源,表格,共享交换平台,传输,否,是,
S007,水体资源,表格,生态监测系统,采集,否,否,
S008,海洋资源,矢量,资源普查,共享,否,否,
S009,土地资源,表格,资源普查,共享,是,是,
S010,监测数据,栅格,共享交换平台,共享,是,否,
S011,水体资源,栅格,生态监测系统,采集,否,否,
S012,海洋资源,矢量,共享交换平台,采集,是,是,
S013,海洋资源,栅格,共享交换平台,存储,是,否,
S014,监测数据,服务,共享交换平台,存储,否,否,
S015,海洋资源,矢量,资源普查,共享,是,是,
S016,土地资源,矢量,确权登记项目,应用,是,否,
S017,监测数据,矢量,共享交换平台,应用,否,是,
S018,海洋资源,服务,共享交换平台,应用,是,是,
S019,森林资源,矢量,资源普查,传输,是,否,
S020,水体资源,表格,生态监测系统,共享,是,否,
S021,海洋资源,表格,共享交换平台,传输,是,否,
S022,森林资源,栅格,共享交换平台,共享,否,是,
S023,土地资源,服务,生态监测系统,应用,否,否,
S024,海洋资源,矢量,资源普查,存储,否,否,
S025,水体资源,栅格,资源普查,存储,否,是,
S026,土地资源,表格,确权登记项目,存储,否,是,
S027,土地资源,矢量,资源普查,存储,是,否,
S028,监测数据,服务,资源普查,共享,是,是,
S029,土地资源,表格,资源普查,采集,是,否,
S030,土地资源,表格,确权登记项目,存储,是,否,
S031,森林资源,矢量,生态监测系统,采集,是,否,
S032,森林资源,栅格,确权登记项目,采集,是,是,
S033,土地资源,服务,确权登记项目,共享,否,是,
S034,森林资源,服务,共享交换平台,采集,否,否,
S035,水体资源,栅格,确权登记项目,应用,是,否,
S036,水体资源,矢量,确权登记项目,采集,是,否,
S037,土地资源,服务,确权登记项目,共享,否,否,
S038,土地资源,服务,确权登记项目,共享,是,否,
S039,森林资源,服务,共享交换平台,采集,否,是,
S040,森林资源,矢量,资源普查,采集,否,是,
